16242
PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=1 ttl=64 time=100 ms
64 bytes from 10.0.0.8: icmp_seq=2 ttl=64 time=280 ms
64 bytes from 10.0.0.8: icmp_seq=3 ttl=64 time=237 ms
64 bytes from 10.0.0.8: icmp_seq=4 ttl=64 time=221 ms
64 bytes from 10.0.0.8: icmp_seq=5 ttl=64 time=200 ms
64 bytes from 10.0.0.8: icmp_seq=6 ttl=64 time=184 ms
64 bytes from 10.0.0.8: icmp_seq=7 ttl=64 time=161 ms
64 bytes from 10.0.0.8: icmp_seq=8 ttl=64 time=138 ms
64 bytes from 10.0.0.8: icmp_seq=9 ttl=64 time=112 ms
64 bytes from 10.0.0.8: icmp_seq=10 ttl=64 time=333 ms
64 bytes from 10.0.0.8: icmp_seq=11 ttl=64 time=311 ms
64 bytes from 10.0.0.8: icmp_seq=12 ttl=64 time=290 ms
64 bytes from 10.0.0.8: icmp_seq=13 ttl=64 time=267 ms
64 bytes from 10.0.0.8: icmp_seq=14 ttl=64 time=249 ms
64 bytes from 10.0.0.8: icmp_seq=15 ttl=64 time=225 ms
64 bytes from 10.0.0.8: icmp_seq=16 ttl=64 time=204 ms
64 bytes from 10.0.0.8: icmp_seq=17 ttl=64 time=180 ms
64 bytes from 10.0.0.8: icmp_seq=18 ttl=64 time=403 ms
64 bytes from 10.0.0.8: icmp_seq=19 ttl=64 time=380 ms
64 bytes from 10.0.0.8: icmp_seq=20 ttl=64 time=359 ms
64 bytes from 10.0.0.8: icmp_seq=21 ttl=64 time=336 ms
64 bytes from 10.0.0.8: icmp_seq=22 ttl=64 time=316 ms
64 bytes from 10.0.0.8: icmp_seq=23 ttl=64 time=294 ms
64 bytes from 10.0.0.8: icmp_seq=24 ttl=64 time=273 ms
64 bytes from 10.0.0.8: icmp_seq=25 ttl=64 time=492 ms
64 bytes from 10.0.0.8: icmp_seq=26 ttl=64 time=471 ms
64 bytes from 10.0.0.8: icmp_seq=27 ttl=64 time=448 ms
64 bytes from 10.0.0.8: icmp_seq=28 ttl=64 time=428 ms
64 bytes from 10.0.0.8: icmp_seq=29 ttl=64 time=404 ms
64 bytes from 10.0.0.8: icmp_seq=30 ttl=64 time=385 ms
64 bytes from 10.0.0.8: icmp_seq=31 ttl=64 time=361 ms
64 bytes from 10.0.0.8: icmp_seq=32 ttl=64 time=343 ms
64 bytes from 10.0.0.8: icmp_seq=33 ttl=64 time=562 ms
64 bytes from 10.0.0.8: icmp_seq=34 ttl=64 time=543 ms
64 bytes from 10.0.0.8: icmp_seq=35 ttl=64 time=520 ms
64 bytes from 10.0.0.8: icmp_seq=36 ttl=64 time=501 ms
64 bytes from 10.0.0.8: icmp_seq=37 ttl=64 time=477 ms
64 bytes from 10.0.0.8: icmp_seq=38 ttl=64 time=457 ms
64 bytes from 10.0.0.8: icmp_seq=39 ttl=64 time=434 ms
64 bytes from 10.0.0.8: icmp_seq=40 ttl=64 time=415 ms
64 bytes from 10.0.0.8: icmp_seq=41 ttl=64 time=635 ms
64 bytes from 10.0.0.8: icmp_seq=42 ttl=64 time=614 ms
64 bytes from 10.0.0.8: icmp_seq=43 ttl=64 time=592 ms
